Perl
Go
SQL
JavaScript
Arduino / Raspberry Pi
AngularJS
C#
Node.js
Python
Ruby
LAMP
PHP
SQL Server
MongoDB
ReactJS
WordPress
Android
iOS
Clojure
Swift
Objective-C
C
Haskell
Rust
Scala
"Cloud (AWS, GAE, Azure, etc.)"
R
MATLAB
Hadoop
C++
Cassandra
Spark
Redis
Windows Phone
CoffeeScript
Visual Basic
